No;PeriodeTransaksi;UsiaBangunan;Kebisingan;JarakStasiunMRT;NumMinimarket;Humiditas;Latitude;Longitude;Harga;Harga_Lain
183;EARLY;13.5;27.6;2147.376;3;56;24.96299;121.51284;302.2;23.6
329;LATE;15.9;24.5;1497.713;3;49;24.97003;121.51696;302.4;23.6
267;EARLY;17.8;26.6;1783.18;3;50;24.96731;121.51486;303.2;23.7
14;LATE;20.4;21.2;2469.645;4;39;24.96108;121.51046;303.4;23.8
376;EARLY;21.7;30.1;1157.988;0;26;24.96165;121.55011;303.7;23.8
235;EARLY;8;22.2;2216.612;4;46;24.96007;121.51361;304.4;23.9
262;EARLY;16.2;21.8;2288.011;3;47;24.95885;121.51359;304.8;24.4
293;EARLY;17.5;27.4;395.6747;5;33;24.95674;121.534;304.9;24.5
23;LATE;14.7;21.6;1360.139;1;28;24.95204;121.54842;305.3;24.6
308;LATE;10.3;27.3;3079.89;0;29;24.9546;121.56627;305.3;24.7
311;LATE;16.4;26.5;1643.499;2;34;24.95394;121.55174;305.6;24.7
360;EARLY;5.6;28.6;2408.993;0;27;24.95505;121.55964;305.7;24.7
395;EARLY;32.6;23.1;4136.271;1;25;24.95544;121.4963;305.7;24.7
367;LATE;14.2;21;1801.544;1;51;24.95153;121.55254;306;24.8
32;LATE;29.6;22.8;769.4034;7;31;24.98281;121.53408;306.2;25
38;EARLY;12;29.6;1360.139;1;53;24.95204;121.54842;306.7;25.3
65;EARLY;17.5;29.7;995.7554;0;51;24.96305;121.54915;306.8;25.3
90;EARLY;23;24.1;3947.945;0;44;24.94783;121.50243;307;25.3
201;EARLY;17.4;30.7;995.7554;0;38;24.96305;121.54915;307.1;25.5
78;LATE;20.5;30;2185.128;3;29;24.96322;121.51237;307.2;25.6
283;LATE;2;29.1;1455.798;1;53;24.9512;121.549;307.7;25.6
388;EARLY;16.2;21.8;2103.555;3;52;24.96042;121.51462;308.5;25.6
187;EARLY;20.9;25.4;2185.128;3;26;24.96322;121.51237;308.5;25.7
353;LATE;18.4;30.7;2674.961;3;52;24.96143;121.50827;308.6;25.7
254;LATE;30.4;22.5;1735.595;2;45;24.96464;121.51623;308.6;25.9
209;LATE;11.5;24.5;1360.139;1;49;24.95204;121.54842;309.5;26.2
80;EARLY;18;22.6;1414.837;1;28;24.95182;121.54887;310;26.5
257;LATE;14.6;26.1;339.2289;1;42;24.97519;121.53151;310;26.5
272;LATE;17.7;21.4;451.6419;8;28;24.96945;121.5449;310.4;26.5
108;EARLY;12.2;29.2;1360.139;1;49;24.95204;121.54842;310.5;26.6
205;EARLY;18;25.1;1414.837;1;29;24.95182;121.54887;310.8;26.6
320;EARLY;34.6;22.1;272.6783;5;53;24.95562;121.53872;311.1;26.9
26;EARLY;29.3;21.2;1487.868;2;46;24.97542;121.51726;311.3;27
53;LATE;32.1;30;1438.579;3;45;24.97419;121.5175;311.7;27
87;LATE;1.8;24.5;1455.798;1;31;24.9512;121.549;312.1;27
36;EARLY;13.9;30.9;4079.418;0;41;25.01459;121.51816;312.5;27.3
316;EARLY;15.6;28.3;1756.411;2;42;24.9832;121.51812;312.7;27.3
389;EARLY;10.4;20.1;2251.938;4;40;24.95957;121.51353;313;27.3
63;LATE;17.2;28.1;2175.877;3;43;24.96303;121.51254;313.1;27.7
278;EARLY;21.2;25.8;2185.128;3;41;24.96322;121.51237;313.1;27.7
402;EARLY;7.6;20.3;2175.03;3;26;24.96305;121.51254;313.2;27.7
409;EARLY;18.5;22.8;2175.744;3;44;24.9633;121.51243;313.4;28.1
110;LATE;4;21.5;2147.376;3;41;24.96299;121.51284;313.6;28.4
145;EARLY;11.9;27.4;1360.139;1;27;24.95204;121.54842;313.7;28.4
298;LATE;34.9;26.5;567.0349;4;33;24.97003;121.5458;314.9;28.5
403;LATE;12.7;26.3;187.4823;1;57;24.97388;121.52981;315.9;28.5
352;LATE;4;24.7;2180.245;3;41;24.96324;121.51241;317.7;28.6
241;EARLY;11;25.4;1712.632;2;47;24.96412;121.5167;317.8;28.8
260;EARLY;17.7;26.3;837.7233;0;36;24.96334;121.54767;318;28.8
142;EARLY;5.1;29.3;1559.827;3;51;24.97213;121.51627;318;28.9
153;EARLY;12;22.4;1360.139;1;34;24.95204;121.54842;318.6;28.9
21;EARLY;4.5;21.8;2275.877;3;25;24.96314;121.51151;319.1;29.3
195;EARLY;15.2;30.5;3771.895;0;52;24.93363;121.51158;319.5;29.3
274;EARLY;13.2;23.8;170.1289;1;27;24.97371;121.52984;319.9;29.3
383;EARLY;16.3;30.3;3529.564;0;25;24.93207;121.51597;320.2;29.3
305;EARLY;20;24.3;1626.083;3;25;24.96622;121.51668;321.2;29.4
76;EARLY;12.3;23.9;1360.139;1;30;24.95204;121.54842;321.3;29.5
366;LATE;17.3;28.9;2261.432;4;46;24.96182;121.51222;321.9;29.5
240;EARLY;18.1;21.1;837.7233;0;32;24.96334;121.54767;322.4;29.7
79;LATE;38.2;26.3;552.4371;2;52;24.97598;121.53381;322.6;29.8
251;EARLY;39.2;29.9;424.7132;7;37;24.97429;121.53917;322.6;30
355;EARLY;12.2;29.4;1360.139;1;47;24.95204;121.54842;323.2;30.1
105;LATE;32.7;23.4;392.4459;6;35;24.96398;121.5425;323.3;30.5
377;EARLY;14.7;26.2;1717.193;2;25;24.96447;121.51649;324;30.5
119;EARLY;25.3;25.8;1583.722;3;32;24.96622;121.51709;324.8;30.6
166;LATE;13.7;20.3;1236.564;1;55;24.97694;121.55391;325;30.6
132;EARLY;4;22.5;2147.376;3;26;24.96299;121.51284;325.3;30.7
261;EARLY;17;27.5;1485.097;4;56;24.97073;121.517;325.6;30.7
347;EARLY;13.2;30.6;1712.632;2;34;24.96412;121.5167;325.8;30.8
338;LATE;31.3;23.4;600.8604;5;39;24.96871;121.54651;326.9;30.9
213;EARLY;17.6;22.6;1805.665;2;54;24.98672;121.52091;327.8;31.1
280;EARLY;2.6;25.1;1554.25;3;28;24.97026;121.51642;327.8;31.1
121;EARLY;13.3;24.4;492.2313;5;34;24.96515;121.53737;328.1;31.3
325;LATE;12.4;21.9;1712.632;2;39;24.96412;121.5167;328.3;31.3
354;EARLY;4.1;28.4;2147.376;3;31;24.96299;121.51284;329;31.3
392;LATE;6.2;30.9;1939.749;1;41;24.95155;121.55387;329.1;31.3
203;LATE;38.3;26.5;642.6985;3;32;24.97559;121.53713;329.1;31.5
200;EARLY;18.2;27.8;451.6419;8;46;24.96945;121.5449;329.4;31.6
264;EARLY;3.9;28.8;2147.376;3;52;24.96299;121.51284;329.4;31.7
397;LATE;37.1;20.3;918.6357;1;44;24.97198;121.55063;329.8;31.9
6;LATE;7.1;26.9;2175.03;3;56;24.96305;121.51254;329.9;32.1
398;EARLY;13.1;30.4;1164.838;4;36;24.99156;121.53406;330.2;32.2
234;EARLY;39.7;25.2;333.3679;9;47;24.98016;121.53932;330.3;32.4
123;EARLY;31.5;22.1;414.9476;4;54;24.98199;121.54464;330.8;32.5
102;LATE;12.7;24;170.1289;1;56;24.97371;121.52984;330.8;32.9
288;EARLY;19.2;28.3;461.1016;5;25;24.95425;121.5399;331.6;32.9
323;EARLY;12.9;23.1;187.4823;1;52;24.97388;121.52981;331.6;33.1
365;EARLY;35.3;24.3;614.1394;7;43;24.97913;121.53666;331.6;33.1
231;EARLY;4;28.3;2147.376;3;33;24.96299;121.51284;333;33.4
243;LATE;2;30.1;2077.39;3;59;24.96357;121.51329;333.2;33.4
28;EARLY;10.4;25.7;276.449;5;25;24.95593;121.53913;333.5;33.6
277;EARLY;19.1;28.8;461.1016;5;43;24.95425;121.5399;333.6;34
44;LATE;34.4;28;512.7871;6;32;24.98748;121.54301;333.7;34.1
109;EARLY;31.4;23.8;592.5006;2;35;24.9726;121.53561;333.7;34.1
297;LATE;12.5;28;1144.436;4;37;24.99176;121.53456;333.8;34.1
33;LATE;37.9;26;488.5727;1;58;24.97349;121.53451;334.3;34.2
208;EARLY;38.5;20.4;665.0636;3;27;24.97503;121.53692;334.3;34.2
15;EARLY;13.2;29.4;1164.838;4;55;24.99156;121.53406;334.4;34.3
285;LATE;15;29.4;383.2805;7;56;24.96735;121.54464;334.8;34.4
98;EARLY;28.4;29.9;617.4424;3;28;24.97746;121.53299;334.9;34.6
196;EARLY;15.2;24.1;461.1016;5;35;24.95425;121.5399;335;34.6
43;EARLY;36.1;30.8;519.4617;5;32;24.96305;121.53758;335.4;34.7
174;EARLY;41.3;29.8;401.8807;4;58;24.98326;121.5446;335.5;35.1
393;EARLY;42.7;28.5;443.802;6;56;24.97927;121.53874;335.6;35.3
401;EARLY;26.8;20.3;482.7581;5;34;24.97433;121.53863;335.6;35.5
158;EARLY;16.1;27;815.9314;4;40;24.97886;121.53464;336;35.6
337;LATE;5.1;29.9;1867.233;2;36;24.98407;121.51748;336.5;35.6
302;LATE;38;26.4;461.7848;0;38;24.97229;121.53445;337;35.7
69;EARLY;30.4;27.7;464.223;6;44;24.97964;121.53805;337.1;36.2
73;LATE;32.5;21.2;424.5442;8;58;24.97587;121.53913;337.1;36.3
339;LATE;31.5;22.4;258.186;9;44;24.96867;121.54331;337.2;36.3
176;EARLY;30.2;21;472.1745;3;30;24.97005;121.53758;337.4;36.5
336;LATE;27.3;20.8;337.6016;6;27;24.96431;121.54063;337.5;36.5
197;EARLY;22.8;20.4;707.9067;2;35;24.981;121.54713;337.5;36.6
179;EARLY;13.1;25.1;1144.436;4;37;24.99176;121.53456;337.6;36.7
328;EARLY;3.5;25;757.3377;3;34;24.97538;121.54971;337.7;36.7
77;LATE;35.9;30.6;616.4004;3;35;24.97723;121.53767;338;36.8
82;EARLY;30.8;24.3;377.7956;6;35;24.96427;121.53964;338.1;36.8
301;EARLY;2.5;20.6;156.2442;4;33;24.96696;121.53992;338.3;36.9
291;EARLY;37.7;21.1;490.3446;0;31;24.97217;121.53471;338.6;37
342;EARLY;13;23.2;750.0704;2;47;24.97371;121.54951;338.9;37
406;LATE;23;27.7;130.9945;6;51;24.95663;121.53765;339.1;37.2
400;LATE;12.7;30;170.1289;1;52;24.97371;121.52984;339.3;37.3
18;LATE;17.7;25.2;350.8515;1;25;24.97544;121.53119;339.4;37.4
160;LATE;15.5;30.1;815.9314;4;42;24.97886;121.53464;339.6;37.4
169;EARLY;27.6;20.7;515.1122;5;59;24.96299;121.5432;339.8;37.4
379;EARLY;37.3;26.9;587.8877;8;35;24.97077;121.54634;339.9;37.4
131;EARLY;29.6;20.7;535.527;8;30;24.98092;121.53653;339.9;37.5
133;EARLY;26.6;25.3;482.7581;5;49;24.97433;121.53863;340;37.5
143;EARLY;19.8;27.2;640.6071;5;44;24.97017;121.54647;340.3;37.5
318;LATE;15.6;22.8;752.7669;2;43;24.97795;121.53451;340.3;37.5
322;LATE;16.9;25.3;964.7496;4;37;24.98872;121.53411;340.4;37.7
192;EARLY;13.2;30.1;750.0704;2;58;24.97371;121.54951;340.5;37.8
1;LATE;32;26.8;84.87882;10;40;24.98298;121.54024;340.6;37.9
346;LATE;0;28.4;185.4296;0;38;24.9711;121.5317;340.9;37.9
266;LATE;15.7;29.1;815.9314;4;25;24.97886;121.53464;341;38.1
295;EARLY;26.4;20;335.5273;6;34;24.9796;121.5414;341;38.1
326;EARLY;36.6;29.4;488.8193;8;45;24.97015;121.54494;341.3;38.1
101;EARLY;17.5;30.5;964.7496;4;35;24.98872;121.53411;342.1;38.2
46;EARLY;36.6;20.4;488.8193;8;46;24.97015;121.54494;342.3;38.3
304;EARLY;38.3;22.5;439.7105;0;28;24.97161;121.53423;342.3;38.4
334;LATE;7.8;24;104.8101;5;49;24.96674;121.54067;342.6;38.4
222;EARLY;9;28.4;1402.016;0;45;24.98569;121.5276;342.6;38.5
391;EARLY;32.8;23.1;377.8302;9;53;24.97151;121.5435;342.7;38.6
25;EARLY;39.6;30.1;480.6977;4;56;24.97353;121.53885;343.2;38.8
54;EARLY;13.3;22.1;492.2313;5;27;24.96515;121.53737;343.4;38.9
238;EARLY;13;27.5;732.8528;0;28;24.97668;121.52518;343.6;39
199;EARLY;34;24;157.6052;7;44;24.96628;121.54196;343.6;39.1
13;LATE;13;23.3;492.2313;5;28;24.96515;121.53737;343.6;39.3
236;LATE;12.9;30.9;250.631;7;37;24.96606;121.54297;344.1;39.3
112;LATE;33.3;23.6;196.6172;7;44;24.97701;121.54224;344.1;39.4
159;EARLY;11.6;22.5;390.5684;5;35;24.97937;121.54245;344.4;39.4
134;LATE;18;26.6;373.3937;8;56;24.9866;121.54082;344.8;39.5
162;EARLY;19.2;28;616.4004;3;38;24.97723;121.53767;344.9;39.6
333;EARLY;39.8;23.6;617.7134;2;40;24.97577;121.53475;345;39.6
150;LATE;34.9;23.9;179.4538;8;41;24.97349;121.54245;345.2;39.7
217;EARLY;37.8;30;590.9292;1;43;24.97153;121.53559;345.5;39.7
404;LATE;30.9;23.5;161.942;9;56;24.98353;121.53966;345.5;39.7
363;EARLY;17.1;30.7;967.4;4;28;24.98872;121.53408;345.7;40
144;EARLY;13.6;21.9;492.2313;5;39;24.96515;121.53737;345.7;40.1
269;EARLY;17.2;24.6;390.5684;5;47;24.97937;121.54245;345.7;40.1
220;LATE;29.3;25.1;529.7771;8;27;24.98102;121.53655;345.8;40.2
228;LATE;32.4;24.8;265.0609;8;28;24.98059;121.53986;346.6;40.2
7;LATE;34.5;25.2;623.4731;7;52;24.97933;121.53642;347.3;40.3
81;EARLY;11.8;27.9;533.4762;4;59;24.97445;121.54765;347.7;40.3
384;LATE;29.1;30.5;506.1144;4;46;24.97845;121.53889;347.8;40.3
394;EARLY;16.9;28.3;967.4;4;51;24.98872;121.53408;347.8;40.3
273;LATE;13;26.7;492.2313;5;41;24.96515;121.53737;347.9;40.5
407;EARLY;1.9;23.3;372.1386;7;60;24.97293;121.54026;348;40.5
239;EARLY;12.8;26.4;732.8528;0;30;24.97668;121.52518;348.3;40.6
247;EARLY;16.4;21.1;389.8219;6;39;24.96412;121.54273;348.8;40.6
265;EARLY;32.6;26.8;493.657;7;53;24.96968;121.54522;349.1;40.6
412;EARLY;18.8;27.2;390.9696;7;39;24.97923;121.53986;349.9;40.6
72;EARLY;35.5;22.8;640.7391;3;54;24.97563;121.53715;350;40.8
218;LATE;28;24.9;372.6242;6;49;24.97838;121.54119;350.4;40.8
246;EARLY;7.5;26.9;639.6198;5;42;24.97258;121.54814;350.8;40.8
154;EARLY;6.5;24.4;376.1709;6;58;24.95418;121.53713;351.1;40.9
210;LATE;34.8;24.6;175.6294;8;52;24.97347;121.54271;351.5;40.9
95;LATE;40.9;24.4;167.5989;5;28;24.9663;121.54026;351.7;41
130;EARLY;38.5;22.3;216.8329;7;49;24.98086;121.54162;351.9;41
275;EARLY;27.5;26.3;394.0173;7;45;24.97305;121.53994;352;41
268;LATE;34.7;22.3;482.7581;5;58;24.97433;121.53863;352.2;41.1
345;EARLY;34.6;23.6;3085.17;0;25;24.998;121.5155;352.3;41.2
405;EARLY;16.4;30.7;289.3248;5;52;24.98203;121.54348;352.3;41.2
11;EARLY;34.8;21.4;405.2134;1;53;24.97349;121.53372;353.1;41.4
242;EARLY;13.7;24.5;250.631;7;39;24.96606;121.54297;353.2;41.4
373;EARLY;33.9;25.6;157.6052;7;35;24.96628;121.54196;353.2;41.5
315;EARLY;3.7;22.4;577.9615;6;38;24.97201;121.54722;353.7;41.6
57;EARLY;33.6;25.8;371.2495;8;46;24.97254;121.54059;353.7;41.9
47;EARLY;21.7;27.5;463.9623;9;39;24.9703;121.54458;353.7;42
70;LATE;12.5;29.6;561.9845;5;31;24.98746;121.54391;353.8;42
178;EARLY;33;29.2;181.0766;9;42;24.97697;121.54262;355.3;42
317;EARLY;13.3;29.7;250.631;7;55;24.96606;121.54297;355.7;42
371;LATE;15.9;28.7;289.3248;5;48;24.98203;121.54348;357.1;42.1
2;LATE;19.5;27.4;306.5947;9;37;24.98034;121.53951;357.4;42.2
135;LATE;33.4;23.9;186.9686;6;41;24.96604;121.54211;357.4;42.2
312;EARLY;21.3;30.3;537.7971;4;41;24.97425;121.53814;357.5;42.2
19;EARLY;16.9;26.8;368.1363;8;27;24.9675;121.54451;357.7;42.3
191;EARLY;35.3;28;616.5735;8;54;24.97945;121.53642;357.9;42.3
224;EARLY;9.1;27.6;1402.016;0;57;24.98569;121.5276;358.1;42.3
351;EARLY;13.2;25.7;492.2313;5;27;24.96515;121.53737;358.4;42.3
60;EARLY;13.3;23.6;336.0532;5;58;24.95776;121.53438;358.4;42.4
140;LATE;12.9;26.1;492.2313;5;42;24.96515;121.53737;358.5;42.5
294;LATE;12.6;26.3;383.2805;7;25;24.96735;121.54464;359.1;42.5
324;EARLY;28.6;22.1;197.1338;6;52;24.97631;121.54436;359.2;42.5
396;LATE;21.2;23.2;512.5487;4;59;24.974;121.53842;359.5;42.5
180;EARLY;14;29.2;438.8513;1;43;24.97493;121.5273;359.6;42.6
193;EARLY;43.8;20.4;57.58945;7;56;24.9675;121.54069;360.1;42.7
314;EARLY;8.3;29.2;104.8101;5;30;24.96674;121.54067;360.2;42.8
341;EARLY;33.6;24;270.8895;0;28;24.97281;121.53265;360.2;42.9
5;LATE;5;22.5;390.5684;5;55;24.97937;121.54245;360.5;43.1
369;EARLY;18.2;24.2;350.8515;1;59;24.97544;121.53119;361.6;43.1
92;EARLY;9.1;25.4;1402.016;0;58;24.98569;121.5276;362.9;43.2
148;LATE;3.2;20.6;489.8821;8;26;24.97017;121.54494;364.7;43.2
168;EARLY;28.2;30.7;330.0854;8;41;24.97408;121.54011;364.8;43.4
139;EARLY;10;20.1;942.4664;0;39;24.97843;121.52406;365.1;43.5
212;EARLY;0;30.4;274.0144;1;51;24.9748;121.53059;365.1;43.5
85;EARLY;15.1;29.9;383.2805;7;43;24.96735;121.54464;365.2;43.7
219;EARLY;13.6;21.5;492.2313;5;58;24.96515;121.53737;365.5;43.8
258;EARLY;17.3;23.9;444.1334;1;52;24.97501;121.5273;366.2;43.9
207;EARLY;22.2;26.9;379.5575;10;30;24.98343;121.53762;366.2;44
279;LATE;0;27.7;208.3905;6;46;24.95618;121.53844;366.7;44
51;EARLY;21.7;28.5;512.5487;4;40;24.974;121.53842;367.4;44.2
66;EARLY;40.1;24.1;123.7429;8;55;24.97635;121.54329;367.6;44.3
189;LATE;34.8;23.8;190.0392;8;54;24.97707;121.54312;367.6;44.3
290;EARLY;13.9;20.8;289.3248;5;27;24.98203;121.54348;368.3;44.5
152;EARLY;4.9;21.6;387.7721;9;47;24.98118;121.53788;368.7;44.7
282;EARLY;4.7;28.4;387.7721;9;39;24.98118;121.53788;368.7;44.8
358;EARLY;0;28.8;338.9679;9;57;24.96853;121.54413;369.4;44.9
149;EARLY;16.4;21.1;3780.59;0;44;24.93293;121.51203;369.7;45.1
359;EARLY;1.1;28.1;193.5845;6;39;24.96571;121.54089;369.9;45.1
175;EARLY;4.3;21.9;432.0385;7;54;24.9805;121.53778;370.7;45.2
357;LATE;10.3;22.3;211.4473;1;28;24.97417;121.52999;371.1;45.3
91;LATE;0;29;274.0144;1;31;24.9748;121.53059;371.3;45.4
281;EARLY;2.3;23.9;184.3302;6;52;24.96581;121.54086;371.6;45.4
124;EARLY;0;23.7;185.4296;0;58;24.9711;121.5317;371.9;45.5
146;LATE;2.1;28.4;451.2438;5;34;24.97563;121.54694;372.1;45.5
104;LATE;0;21.8;208.3905;6;25;24.95618;121.53844;372.4;45.7
202;EARLY;13.1;28.1;561.9845;5;35;24.98746;121.54391;373.4;45.9
225;EARLY;34.5;20;324.9419;6;52;24.97814;121.5417;374.1;46
204;LATE;15.6;21.4;289.3248;5;44;24.98203;121.54348;374.3;46.1
300;EARLY;33.2;23.4;121.7262;10;34;24.98178;121.54059;374.3;46.1
40;EARLY;16.2;21.7;289.3248;5;41;24.98203;121.54348;375.2;46.2
116;EARLY;20.6;27.6;737.9161;2;49;24.98092;121.54739;375.4;46.4
229;EARLY;11.9;22.2;3171.329;0;34;25.00115;121.51776;376.1;46.6
344;EARLY;33.5;24;563.2854;8;26;24.98223;121.53597;376.3;46.6
386;EARLY;18.3;26.9;82.88643;10;25;24.983;121.54026;376.6;46.6
8;EARLY;20.3;27.3;287.6025;6;50;24.98042;121.54228;377.4;46.7
137;LATE;11.4;29.7;390.5684;5;49;24.97937;121.54245;377.8;46.8
29;EARLY;19.2;24;557.478;4;41;24.97419;121.53797;378;47
350;LATE;7.8;27.4;104.8101;5;51;24.96674;121.54067;378.3;47
107;EARLY;17.2;28.1;189.5181;8;59;24.97707;121.54308;378.5;47.1
361;LATE;32.9;26.7;87.30222;10;39;24.983;121.54022;378.6;47.1
3;LATE;13.3;24.5;561.9845;5;25;24.98746;121.54391;379.1;47.3
382;EARLY;8;21.8;132.5469;9;54;24.98298;121.53981;379.4;47.3
138;EARLY;13.6;22.3;319.0708;6;45;24.96495;121.54277;379.7;47.4
20;LATE;1.5;23.1;23.38284;7;25;24.96772;121.54102;379.9;47.7
39;LATE;3.1;26.4;577.9615;6;55;24.97201;121.54722;380.6;47.7
24;EARLY;10.1;24.8;279.1726;7;41;24.97528;121.54541;380.6;47.9
89;LATE;8.9;29;1406.43;0;28;24.98573;121.52758;381.5;48
122;EARLY;13.6;28.1;492.2313;5;38;24.96515;121.53737;381.8;48
364;EARLY;32.3;22;109.9455;10;42;24.98182;121.54086;382;48
83;EARLY;13.2;22.7;150.9347;7;59;24.96725;121.54252;382.2;48.1
216;EARLY;19.2;21.5;383.7129;8;26;24.972;121.54477;383.2;48.1
198;EARLY;34.4;21.1;126.7286;8;47;24.96881;121.54089;383.3;48.2
244;EARLY;32.8;30.9;204.1705;8;60;24.98236;121.53923;383.4;48.2
151;EARLY;35.8;30.8;170.7311;7;50;24.96719;121.54269;383.5;48.5
223;LATE;30.6;29.2;431.1114;10;56;24.98123;121.53743;383.9;48.5
126;EARLY;1.1;24.4;193.5845;6;50;24.96571;121.54089;384.2;48.6
226;EARLY;1.1;30.7;193.5845;6;26;24.96571;121.54089;384.3;49
34;EARLY;16.5;22.4;323.655;6;34;24.97841;121.54281;384.4;49.3
194;EARLY;9.7;29.8;421.479;5;33;24.98246;121.54477;384.6;49.3
375;EARLY;5.4;29.1;390.5684;5;43;24.97937;121.54245;385.4;49.5
276;LATE;1.5;26.3;23.38284;7;60;24.96772;121.54102;385.5;49.7
319;EARLY;7.1;27.8;379.5575;10;31;24.98343;121.53762;385.7;49.8
